候選人,政見
屏東縣第2選舉區_2_周佳琪,"1.首爭屏南快速道路直達恆春，為半島居民闢建一條醫療救命與平安回家的道路。並致力解決88快速道路壅塞問題，打通屏南交通瓶頸，發展地
   方觀光。
2.力爭高鐵到潮州、高捷橘線到萬丹潮州、高捷紅線到新園東港，台鐵便當潮州設中央廚房。
3.爭取大潮州、大東港、大恆春三區，設國民運動中心及 >>公園<< 增加 >>共融<<  >>遊具<< 。
4.重視大潮州空污受災，爭取空污基金分配，補助地區民眾健檢及學校添購空氣清淨機等設備。
5.修正漁業三法，摒棄重金罰款，採合理合情合法的管理方式照顧漁民，捍衛公海捕魚權。
6.輔導改善畜牧業污染，沼氣沼渣回收利用，協助農民改善畜養環境。
7.爭取增設公私立幼托中心，增加幼兒補助，貫徹長照政策，打造銀髮族宜居家園。
8.檢討墾丁國家 >>公園<< 法令、偏遠地區認定標準，適度開放建管權，為恆春半島留住人才。
9.發展客庄社區聚落博物館，促進客家觀光，打造六堆客家商圈。
10.監督催促大鵬灣招商期程與風景區發展，維護海洋清淨環境，打造小琉球成為無碳島。
11.重視中小產業發展，解決產業困境，推動職人認證，提高勞工地位。
12.催生屏南文青創生產業，招募青年返鄉工作，營造地方特色。"
新竹縣第2選舉區_1_林碩彥,"【經濟】
1. 整治頭前溪，溪水滿滿，發展右岸休閒運動產業。
2. 加速AI智慧園區、園區三期、擴展竹東經濟生活圈。
3. 加速台灣知識旗艦園區計劃案，擴展竹北經濟生活圈。
4. 輔導自農青農，推廣產銷學合作，直送公立中小學午餐。
5. 爭取補助 >>共融<< 式 >>公園<< ，地標型 >>遊具<< ，帶動外縣市觀光人潮。
【科技】
1. 加速無錢包資通平台推廣，開啟智慧消費革命
2. 研議修改科技公司股票分紅費用化制度，留住高科技人才。
3. 推動無人電動公車運輸系統，節能減碳，提升城市價值。
【交通】
1. 推動竹北興隆橋直通竹科園區力行路。
2. 推動五股高架道路南段延伸竹南頭份。
3. 解決經國橋塞車，推動爭取竹科
   往竹北高鐵站輕軌捷運。
【教育】
1. 改變城市從文化開始，推廣接觸古文與藝術。
2. 廣設非營利公幼公托，讓幼兒有完整授教權。
3. 推動公立小學雙語化，強化孩子國際競爭力。
4. 0～6歲幼兒教育基金，減輕爸媽負擔。
5. 施行機關及學校告示牌雙語化，友善外國友人。
【城市美學】
1. 市容改善，研議廣告看板設置辦法。
2. 道路路平計畫，友善用路權，提升市容景觀。
3. 推動優質道路標示牌，嚴格取締張貼廣告。
【醫療】
1. 落實醫療院所分級制，連線轉診無障礙。
2. 推動智慧醫療，居家照護，長照升級轉型。
3. 杜絕假藥、嚴禁藥品篡改效期，加強罰責。
4. 食品安全強化，主張加強罰責"
新竹縣第2選舉區_7_邱靖雅,"【問政與服務】 
1.理性問政 仗義直言 實事求是 專職服務 2.不收紅包 不包工程 不炒土地 3.堅持公平正義原則 保障民眾權益 
【國家建設】 
1.杜絕政府浪費 精簡政府機構 要求基金績效 降低賦稅壓力  2.堅持政府信賴保護原則 檢討老舊法規 支持法稅改革 放寬產業政策 鼓勵資金回流   3.鼓勵青年成家立業：1爭取土地釋放，興建公宅  2爭取青創基地及補助 3爭取育兒津貼，直接補助家長 4增加公托，降低家長負擔 5提高綠地比例，增加 >>共融<< 式 >>遊具<<    4.打造公平教育：調整學習課綱，重塑技職體系，重視品格教育，特重體育發展  5.檢討長照財源及目前作法，增加主動關懷服務機制，為全面迎向老齡化社會準備    6.加強社會治安：加強緝毒反毒與戒毒，全面打擊詐騙，重視精障問題，注重校園安全，守護家庭價值   7.提高農民收入：修改滅農法規，活化農地政策，推動農產品國內外產銷平台
【地方建設】
1.積極爭取經費，建設大新竹  2. 竹北、竹東電線電纜優先全面地下化  3.爭取優惠
條件，全面檢討竹北、竹東舊市區之都市計畫  4.取教育經費及資源，充實教學環境， 
提升地方教育，發展學校特色  5.加強交通建設：1積極爭取五楊高架延伸竹科及新竹
系統交流道 2國道1、3號銜接台68線快速道路，並延伸至竹東軟橋、橫山 3建立竹科、
工研院←→竹北、竹東智慧交通控制系統，改善交通瓶頸 6.推動客家文化特色之文創、
休閒觀光產業，以增加新竹縣國際能見度  7.提升民眾生活品質：1協助優先解決新竹縣
垃圾問題 2爭取經費全面修整人行步道  3規劃整建頭前溪畔為最佳運動休閒空間
4爭取自來水、瓦斯普及率提升，改善城鄉差距"
山地原住民_7_伊斯坦大．貝雅夫．正福^Istanda．Paingav,"1、突破原住民自治、部落公法人、部落主席津貼 10000 元。
2、突破討回祖產地、故居部落土地、保留地正名原住民土地。
3、廢止原住民土地繼承一人僅 2 甲，若其一人作怪無法繼承變相剝奪原住民土地。
4、原住民土地利用、國土計劃法侵權、回歸原學基法原則條例辦理。
5、承租原住民土地違法使用終止續租。
6、原住民部落社區改建地、鄉村生活區、建屋、民宿、露營區合法化。
7、水源限制原住民土地利用縮小管制區(烏來、復興、尖石、牡丹等原住民區)
8、太魯閣務農土地劃出 >>公園<< 法，慕谷慕魚生態觀光，經營權、管理權還給太魯閣族人。
9、傳領國家 >>公園<< 處長，任用原住民籍。
10、傳領溫泉資源生態觀光、政府開發、經營管理權還給原住民。
11、訂「原住民族經濟.產業.建設發展條例」經濟轉型，產業效益，實質建設原鄉。
12、原住民農產行銷，中盤商剝削，政府介入除害惡霸。
13、退輔會佔有達悟族土地，比照太魯閣族林田山祖產地歸還方案還給達悟族族人。
14、修訂不利原住民尊嚴生存發展法案，文化獵人遭判刑、農地利用遭開罰、建屋領不到建造、傳領河川漂流木變林務局所有。
15、早日貫通南橫公路、暢通布農族東西向交通網。
16、屏東春日鄉士文部落，不得因水庫開發逼迫遷村，並完成改善士文部落交通。
17、落實改善蘭嶼陸海空交通，港口擴建周邊改善，民宿合法化，核廢料終結站。
18、完成鄒族長久期待的逐鹿部落展演館，興建馬遠部落布農文物館、卡那卡那富文物館。
19、改善阿里山鄉、那瑪夏間連絡道路。
20、台大早日歸還馬遠部落布農族祖先骨骸，立紀念碑。
21、採礦侵權地利村要撤案，秀林鄉亞泥案，尊重太魯閣族人三方會議處理方案。
22、要求政府改善全國原鄉農路為安全水泥路面並優先完成仁愛鄉力行、都達產業道路。
23、尖石鄉後山部落土地分配不公，協助爭回被霸佔祖產地還給後山部落族人，祖產地下盆 hapan 還給泰雅族族人。
24、台電電纜線、電線桿、高壓電侵害原住民部落安全應移除。
25、都會區社會住宅原住民比例2 %提高為5 %。
26、原住民籍高中職、大專院校生註冊助學金，免除家長先墊付後補助壓力
27、改善原鄉及都會區文化工作站、老人長照資源設備。
28、農作物成長季，農委會補助各部落成立趕猴隊減低農損猴害。
29、成立國軍、警察、消防原住民子弟關懷社，保障原住民人權待遇及升遷管道。
30.、二十年立委做太久，換人做看看，堅決反對原住民國會立委，問政以中國憑什麼不武統台灣之論調，有辱民主.自由.人權的台灣，更反對原住民國會立委對台敵意一黨專政集權國家媚心降格原住民族尊嚴為少數民族。
"
嘉義市選舉區_6_王美惠,"1.監督政府建構高齡社會健康照顧體系，落實在地老化及社區照顧服務。
2.極力爭取減免或降低鐵路高架化的地方配合款。
3.協助中低收入戶家庭及弱勢族群的照顧，重視社會資源的分配。
4.督促政府制定有效住宅政策，提高並擴大青年創業貸款，對有需要的家庭、年輕世代提供更完善的制度與保障。
5.爭取中央補助兩大河川景觀建設：美化八掌溪、牛稠溪水岸 >>公園<< 。
6.活化市區發展的規劃，用地多元化，達到地盡其利：
  (1)協助溶劑廠遷廠。
  (2)舊監獄用地應多元化。
  (3)降低建國一村、二村招商限制，用途平民化，帶動嘉義新商機，促進工商發展，創造優質的投資環境。
7.推動區域觀光，發展在地經濟強化雲嘉嘉共榮共贏生活圈。"
屏東縣第2選舉區_6_姚宗翰,"主愛屏東，生態FIRST，救觀光業，蓋方舟傳福音，得救恩，分享愛，願神的國神的義臨到屏東並臨到政治圈，眾人得著救恩，神愛世人，屏東家人們，弟兄姐妹平安，我愛你們，為著福音的緣故，挺身而出，為主而戰，將福音傳到屏東與政治圈。
我來自林邊，我的故鄉返鄉傳福音，振興經濟，懇請各位鄉親支持一起讓屏東偉大。
1.爭取興建挪亞方舟主題 >>公園<< 救飯店民宿。2.讓家偉大，愛家，一夫一妻，贏回家庭，提倡家庭教育課程。3.公義社會，分享聖經主耶穌的教導，彼此相愛，愛人如己。4.活化全台灣閒置園區有效利用，不浪費納稅義務人的錢。5.海洋立國，爭取設立海上休閒船，提供漁民公共設施，推廣全民海上求生，家家有急難救助包。6.解決養雞場臭味問題，爭取益生菌補助畜禽業者，減短發酵時所產生的臭味。7.翻轉教育，爭取設立屏南大專院校，提升在地就讀便利性，北漂南讀，創造學生經濟，活絡屏南。"
新北市第9選舉區_1_陳愷寧,"解決永和最嚴重的五大問題：
1.交通塞又亂 2.停車位難找 3.經濟力低落 4.人口外流嚴重 5.房價居高不降
永和人多在台北工作，交通壅擠容易出事故，若能復興永和在地經濟，將人才留在家鄉，重新規劃永和的發展，可以解決交通、人口
問題，發展成不亞於大安區的商業都市。為此，
我提出「復興中永和商業圈」，將現有的特色店面與 >>公園<< 綠地、文化遺址結合串連產業，將荒廢的美麗華戲院打造成展館，舉辦電影
節、音樂祭來體驗永和生活圈，打造成「新北小華山」，把永和行銷出去，帶動在地經濟就業！
我提出「河堤外立體停車場」，永和人口高度密集，河堤外的閒置空間加以利用，一樓作為 >>公園<< 步道，高於河堤的二樓以上即可停
車，同時新增免費環市公車，讓市民方便停車取車。
我提出「垂直都市計畫」，仿造荷蘭密集都市，發展垂直型捷運共構，複合商圈、托幼、安養等機構，成為多功能性的社會住宅，來
幫助遇到的都市更新時需要安置的市民！
我提出「錢權留用地方」，中央政府過度極權，讓永和的稅收留在當地，以幫助經濟市場正向循環，恢復市議會，讓永和人自己決定
永和的未來！
更多青年參政理念，可以臉書搜尋：陳愷寧"
桃園市第3選舉區_6_李文雄,"1. 發展優質大學城市，提升文教藝術氣息。 
2. 規劃內壢特色住宅，打造全台好棒社區。
3. 鼓勵釋放閒置空屋，提供青年便宜住宅。
4. 加強青年創業輔導，催生青年創業基金。
5. 引導產業升級轉型，創造新興就業機會。
6. 設立長照管理中心，強化居家照顧服務。
7. 增建老人日照機構，擁抱年老享受生活。
8. 優化整體公車系統，加速火車捷運工程。
9. 推動電線桿地下化，維護整潔安全環境。
10.池塘溪流整建治理，增加 >>公園<< 休憩空間。
11.參照衛武營區模式，重新規劃內壢營區。
12.參照台北西門町區，活化站前中平商圈。
13.您的聲音我心明白，您的淚光我來陪伴。
14.守護台灣維護民主，平安健康快樂有錢。
15.參政理念：促進經濟發展、提升人民收入、解決人民苦惱、增進平安健康。"
臺中市第1選舉區_3_黃朝淵,"1.對岸必須正視中華民國的存在事實，在中國成為自由民主法治國家前，絕對主張維持現狀。2.虐童致死等重大違反人倫自然惡犯罪，維持死刑。3.尊重同性伴侶事實，但，反對以法令明定同性婚姻。4.檢討年金改革，維護退休軍公教人員尊嚴。5.重建四維八德教育，校園向下紮根。6.學費凍漲，學貸免息。7.更新大甲殯儀館火化場老舊火化系統，拓寬聯外道路。8.學校廚房燃料使用柴油與煤油，全部汰換為燃氣鍋爐，推動全面低碳無煙減敏校園。9.保障勞工權益，維持一例一休的精神，但，調整為「異業異法」，推動一套兼顧彈性與保障的勞動法，重新找回和諧勞資關係。10.提高老農年金及補助就醫，保障農民生活及生命、健康權。11.全面清查貧困榮民、榮眷、老農以及勞工，做好生活照顧與輔導。12.提高幼托補助，公立幼兒園免抽籤，減少家長負擔。13.推動國民義務教育向下延伸3年，從4歲開始，小班、中班、大班。14.推動生育及不孕補助，解決少子化危機。15.設立青年及銀髮社會住宅。16.廣設平價長照機構，照顧老弱身障人士。17.設立新住民委員會，協助新住民融入台灣社會，照顧其新住民子女教育及就業。18.民法成年下修到18歲。19.青年學子返鄉探親交通補助及偏遠地區返鄉就業加給，減少人口外移與老化。20.厚植台灣經濟，制定專法支援台商建立海外產業聚落；鼓勵新創研發，扶植新創產業；持續用力推動簽署CPTPP及RCEP等區域經濟協議。21.推動實質人民參與的陪審制度，加速司法改革。22.推動自主安樂死立法。23.推動農業產銷互聯網。24.閒置學校、 >>公園<< 、空地，闢建停車場。25.火車站、港口、客運等公共運輸站，普設腳踏車、電動機車等節能減碳交通接駁工具。26.老街、市場，廣設停車場。27.老街再造，老舊市場改建為具有地方特色觀光市場。28.修法杜絕以刑逼民等不當方式爭奪未成年子女監護權，保護單親家庭及未成年子女，避免成為父母爭奪監護權下之犧牲者及耗費司法資源 。29.文官取才管道多元化，除現行國家考試外，另增加其他任官方式。30.國家考試數位化，現行筆試手寫方式，改成電腦輸入，俾符合實際工作需求，降低閱卷者主觀因素，提升考試公平性。31.修改律師法，放寬律師組織之限制，朝向多元化，保障人民訴訟權。32終結藍綠惡鬥，打破藍綠政黨壟斷，政黨票門檻從5%降到3%；領取政黨補助款門檻從目前3%調降至1.5%。"
臺北市第1選舉區_2_吳思瑤,"一、堅持優質專業問政，各類團體評鑑肯定  ●公督盟六度評鑑優秀立委 ●口袋國會＆媒體評鑑北市優良立委、教育文化優良立委。 
二、力推士林北投發展，爭取最多地方建設  ●拚經濟：引中央資源開發士林北投科技園區 ●拚觀光：爭取文化部兩億補助發展北投生活環境博物園區 ●拚安全：爭取六億大屯火山災害應變系統 ●拚生活：協調國防部土地釋出規劃復興崗公宅及中心新村青創園區 ●拚長照：爭取稻香社區長照基地、催生奇岩長青樂活中心、增設士林北投55處長照據點 ●拚幼托：爭取士林北投0-2歲公托/準公托新增26處、準公共化幼兒園設立27處 ●拚文化：促成新北投車站歸鄉、北投影視音產業園區招商、中心新村全區保存活化、催生十座社區 >>公園<< 圖書館、出版士林北投文化專書 ●拚教育：協助陽明/交大合併提升在地競爭力；爭取各校耐震補強工程；爭取國中小冷氣列校園必備設施。
三、提升整體國家競爭力，政策達成率100%  ●生活正好：基本薪資史上新高造福青年。減稅542萬戶全民受惠。完成危老住宅立法，都更條例修法，加速都市更新。爭取幼托預算每年600億提高補助減輕青年負擔。長照2.0預算成長每年400億多元照顧長者。廣設公宅目標20萬戶爭取青年租金補貼。 ●改革正好：完成能源改革、年金改革、轉型正義、稅制改革、司法改革、追討黨產、體育改革、婚姻平權。 ●政策正好：領導政府採購改革，提升公共建設品質。促成2030雙語國家政策，提升國際競爭力。催生台灣地方創生政策，協助青年在地就/創業。催生台灣設計研究院，促進經濟轉型社會創新。催生設立台語電視台，復振發展台灣母語。推動「五+二產業創新」，扶植新創事業。
四、深耕教育文化領域，問政超越藍綠  ●推動108新課綱，立法保障偏鄉教育，修法革新實驗教育 ●爭取460億進行全台校舍耐震補強1500棟 ●修訂兒少四法，建立狼師惡師退場機制反校園霸凌 ●爭取5年836億高教深耕計畫、5年80億優化技職教育 ●爭取5年50億大學宿舍改造計畫 ●推動私校退場轉型 ●修法力促文化資產保存，制定文化基本法 ●推動成立文化內容策進院，擴大扶植藝文產業產值。
五、堅定捍衛台灣主權，推動公眾外交，打造台灣國家品牌，擴大爭取國際認同。"
